Feature,Mean_Importance,Std_Importance,CI_Lower,CI_Upper,Significant
DISTANCE_KM,0.3157124686669224,0.004506554070032517,0.308317471609329,0.3251444969878555,True
BUS_DENSITY_DIFF,0.06449903381895891,0.002212617299854583,0.059933575417660416,0.0689825491026377,True
COMPANY_CODE_KMB,0.057077637138818436,0.001371693611662394,0.054423616557650586,0.059342896209057264,True
DENSITY_DIFF,0.052810689629750794,0.0018162173193249991,0.050046740166511075,0.05653747839352856,True
FLOW_RATIO,0.03743255055720973,0.001358874922549845,0.03504600527562507,0.039842790874042334,True
NET_FLOW,0.03410728020044249,0.0010229598840341178,0.03227776424450107,0.035872786989457596,True
START_Bus_Station_Density,0.032176119052572866,0.0016897683134032104,0.029090212401242044,0.03525508686479834,True
START_Population_Density,0.031640733634207885,0.0015274895895369114,0.028683858545518033,0.034366292532564555,True
COMPANY_CODE_CTB,0.03157041667718477,0.0008266748307247339,0.030049206280290144,0.033097354992381256,True
END_Bus_Station_Density,0.03120913362390338,0.00132805213090433,0.028804938833285915,0.033491157913598656,True
END_Population_Density,0.02903722818038111,0.001405142233347146,0.026481116245520304,0.03172818072887031,True
START_Inflow,0.024152947102008687,0.0012846271155767764,0.02203474342236025,0.027018600197210828,True
START_Outflow,0.0232614937331212,0.000956901790603958,0.021503034868180775,0.02507203226895153,True
END_Inflow,0.022571017928855523,0.0010794865132336372,0.020685514495242287,0.024636379460336005,True
COMPANY_CODE_LWB,0.02245693957066092,0.0009469555172801067,0.02093177898361081,0.024422647277997818,True
INCOME_DIFF,0.021687187731979432,0.000828051455441954,0.020310943343358225,0.023206189519134297,True
END_Outflow,0.020839889412281872,0.0008812572157726305,0.019248152373342185,0.022726957437483864,True
END_MonthlyMedianIncome,0.018210974916184026,0.0009089600189381874,0.016526421135956395,0.019951690464031627,True
START_MonthlyMedianIncome,0.01797250411122255,0.0007055045010207581,0.016739705342073537,0.01913034989130525,True
COMPANY_CODE_KMB+CTB,0.017472791014291892,0.0004335476328106612,0.016617325074536338,0.018162649154761113,True
END_DISTRICT_Islands,0.006483385319130206,0.0008718574488083278,0.0050175714178205605,0.008125912233583697,True
START_DISTRICT_Central & Western,0.005287658799504891,0.0004911681219364971,0.004473168340732883,0.006171235602834704,True
START_DISTRICT_Southern,0.004983908812279519,0.0003782299831792845,0.004380907678430443,0.005757115563026397,True
START_DISTRICT_Islands,0.004936093123420428,0.000638757753931278,0.004002738462430285,0.0063877095444805345,True
START_DISTRICT_Wan Chai,0.004387191998674397,0.000407547929853207,0.0035335477804545605,0.005108168042995645,True
COMPANY_CODE_NLB,0.004093674988229938,0.00032516821493484014,0.0035573957094578645,0.004803997713208404,True
END_DISTRICT_Southern,0.003984834921583289,0.0003280235574357329,0.0033794601474928564,0.004606668001780258,True
