Quintile,Range,Count,MSE,MAE
0,-69907.00 - -7047.00,32263,21.103412721987247,2.9003843693878477
1,-6769.00 - 0.00,85329,44.98829760729205,4.330908517018439
2,305.00 - 8734.00,8894,33.850217577679686,3.2737116671820212
3,8899.00 - 69907.00,31587,33.38146460132322,3.231382448610235
