Quintile,Range,Count,MSE,MAE
0,0.16 - 0.85,33016,23.415079431621905,3.0370624566826643
1,0.85 - 1.00,84576,44.29854318799268,4.290289676603194
2,1.01 - 1.33,9007,28.367779543550636,2.8101040765971677
3,1.34 - 6.23,31474,34.94870582541523,3.363902317921386
