Feature,RF_Importance,Spearman_ρ
DISTANCE_KM,0.3024435969121249,0.5059651168365975
BUS_DENSITY_DIFF,0.06158691777741566,-0.030528783835104788
COMPANY_CODE_KMB,0.05887881805893212,
DENSITY_DIFF,0.05720654259369402,-0.007649937625049629
FLOW_RATIO,0.038398151641041385,0.021762316887215683
NET_FLOW,0.035824959343538985,0.02142038281804313
COMPANY_CODE_CTB,0.03266117174945127,
END_Bus_Station_Density,0.03258928635583968,-0.019099632251762363
START_Bus_Station_Density,0.032009062023079085,-0.04324828855947596
START_Population_Density,0.03172052666834091,-0.041600700536201574
