Quintile,Range,Count,MSE,MAE
0,-58663.93 - -3460.19,32327,31.125128987289386,3.1167175686383373
1,-3319.35 - 0.00,87220,44.4740363816095,4.312078923748665
2,132.62 - 3134.21,7489,32.05178992895123,3.2234167900211794
3,3319.35 - 58663.93,31037,24.161699130907515,3.0067159138833115
